Order Date,Order ID,Customer ID,Segment,City,Region,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Cost,Profit
2024-09-10,ORD-20240910-2824,C-65302,Consumer,New York,North,Office Supplies,Binders,3,90.25,0.3,189.52,99.7,89.82
2024-09-10,ORD-20240910-1488,C-68878,Home Office,Phoenix,North,Electronics,Phones,1,30.81,0.3,21.57,13.5,8.07
2024-09-10,ORD-20240910-5557,C-59797,Corporate,New York,North,Electronics,Accessories,2,62.26,0.1,112.07,59.47,52.6
2024-09-10,ORD-20240910-6881,C-48427,Consumer,Phoenix,East,Office Supplies,Binders,2,19.26,0.2,30.82,16.14,14.68
2024-09-10,ORD-20240910-6925,C-23238,Consumer,Houston,South,Office Supplies,Paper,2,13.46,0.0,26.92,20.37,6.55
2024-09-10,ORD-20240910-5554,C-99593,Consumer,New York,West,Office Supplies,Binders,2,62.48,0.1,112.46,79.91,32.55
2024-09-10,ORD-20240910-3803,C-52504,Corporate,New York,South,Electronics,Laptops,2,106.51,0.3,149.11,84.38,64.73
2024-09-10,ORD-20240910-4752,C-51245,Corporate,Los Angeles,North,Furniture,Tables,5,72.33,0.3,253.15,193.13,60.02
2024-09-10,ORD-20240910-9179,C-86622,Consumer,Houston,West,Office Supplies,Binders,2,68.73,0.3,96.22,63.67,32.55
2024-09-10,ORD-20240910-7543,C-30969,Home Office,Houston,East,Electronics,Phones,1,51.71,0.0,51.71,28.23,23.48
2024-09-10,ORD-20240910-2040,C-25014,Corporate,Phoenix,West,Furniture,Storage,1,37.89,0.0,37.89,26.68,11.21
2024-09-10,ORD-20240910-5371,C-33416,Corporate,Phoenix,East,Electronics,Laptops,3,51.69,0.1,139.56,110.47,29.09
2024-09-10,ORD-20240910-2743,C-79514,Home Office,New York,East,Office Supplies,Writing,3,72.96,0.0,218.88,144.86,74.02
2024-09-10,ORD-20240910-6310,C-41571,Corporate,Phoenix,West,Electronics,Phones,4,17.42,0.1,62.71,35.86,26.85
2024-09-10,ORD-20240910-2290,C-72296,Consumer,Phoenix,North,Office Supplies,Binders,4,45.75,0.0,183.0,98.55,84.45
2024-09-10,ORD-20240910-3705,C-62296,Corporate,Chicago,East,Office Supplies,Writing,5,37.23,0.0,186.15,132.89,53.26
2024-09-10,ORD-20240910-8177,C-38864,Consumer,New York,West,Electronics,Phones,3,52.02,0.3,109.24,62.16,47.08
2024-09-10,ORD-20240910-2163,C-73624,Consumer,Los Angeles,North,Electronics,Phones,3,42.6,0.0,127.8,74.58,53.22
2024-09-10,ORD-20240910-9834,C-22704,Home Office,Houston,South,Office Supplies,Writing,1,57.49,0.2,45.99,25.62,20.37
2024-09-10,ORD-20240910-6804,C-54473,Home Office,New York,West,Furniture,Tables,4,62.15,0.0,248.6,128.82,119.78
2024-09-10,ORD-20240910-5073,C-19880,Corporate,Houston,South,Electronics,Accessories,3,62.28,0.2,149.47,85.94,63.53
2024-09-10,ORD-20240910-2604,C-73653,Consumer,Houston,North,Office Supplies,Writing,5,38.95,0.0,194.75,107.09,87.66
2024-09-10,ORD-20240910-4502,C-82845,Corporate,Houston,West,Electronics,Phones,3,50.34,0.2,120.82,70.75,50.07
2024-09-10,ORD-20240910-3536,C-86569,Consumer,Houston,South,Furniture,Chairs,1,35.09,0.1,31.58,16.33,15.25
2024-09-10,ORD-20240910-9238,C-40828,Consumer,Houston,South,Electronics,Accessories,3,42.43,0.0,127.29,89.43,37.86
2024-09-10,ORD-20240910-2964,C-51467,Consumer,Chicago,South,Office Supplies,Writing,2,32.23,0.3,45.12,30.21,14.91
2024-09-10,ORD-20240910-4346,C-19508,Corporate,New York,East,Electronics,Laptops,3,76.38,0.2,183.31,109.04,74.27
2024-09-10,ORD-20240910-8508,C-42018,Consumer,Chicago,North,Electronics,Accessories,2,49.51,0.1,89.12,68.11,21.01
2024-09-10,ORD-20240910-5669,C-82692,Home Office,Chicago,South,Furniture,Storage,2,117.94,0.3,165.12,82.95,82.17
2024-09-10,ORD-20240910-2697,C-54942,Consumer,Los Angeles,South,Furniture,Chairs,2,35.48,0.1,63.86,43.52,20.34
2024-09-10,ORD-20240910-5325,C-27146,Consumer,Chicago,West,Furniture,Chairs,1,14.88,0.0,14.88,7.46,7.42
2024-09-10,ORD-20240910-3647,C-58393,Corporate,Phoenix,West,Office Supplies,Writing,2,45.45,0.0,90.9,60.33,30.57
2024-09-10,ORD-20240910-3426,C-37535,Corporate,Los Angeles,West,Electronics,Phones,1,93.7,0.0,93.7,72.12,21.58
2024-09-10,ORD-20240910-2684,C-33206,Home Office,Houston,East,Office Supplies,Binders,2,5.0,0.0,10.0,7.59,2.41
2024-09-10,ORD-20240910-1406,C-24168,Corporate,Houston,South,Office Supplies,Binders,3,5.0,0.0,15.0,8.7,6.3
2024-09-10,ORD-20240910-1634,C-96511,Corporate,Los Angeles,West,Electronics,Phones,1,87.55,0.0,87.55,49.63,37.92
2024-09-10,ORD-20240910-7528,C-13617,Corporate,New York,East,Furniture,Chairs,2,74.01,0.3,103.61,62.1,41.51
2024-09-10,ORD-20240910-5279,C-77033,Consumer,New York,South,Office Supplies,Binders,3,66.81,0.1,180.39,113.81,66.58
2024-09-10,ORD-20240910-7311,C-97900,Home Office,Los Angeles,South,Furniture,Chairs,1,61.84,0.3,43.29,30.57,12.72
2024-09-10,ORD-20240910-6967,C-49363,Corporate,Phoenix,West,Electronics,Accessories,1,24.22,0.0,24.22,17.34,6.88
2024-09-10,ORD-20240910-6067,C-59695,Home Office,Los Angeles,West,Furniture,Tables,2,62.51,0.2,100.02,69.96,30.06
2024-09-10,ORD-20240910-5930,C-52237,Corporate,Houston,West,Office Supplies,Paper,2,75.79,0.3,106.11,72.37,33.74
2024-09-10,ORD-20240910-8238,C-47196,Home Office,Phoenix,West,Office Supplies,Paper,1,59.02,0.0,59.02,41.18,17.84
